gene_id	protein_id
G4P62_003658	KAF7229685.1
G4P62_003657	KAF7229684.1
G4P62_003656	KAF7229683.1
G4P62_001273	KAF7229680.1
G4P62_003655	KAF7229682.1
G4P62_003654	KAF7229681.1
G4P62_020089	KAF7231780.1
G4P62_017944	KAF7231531.1
G4P62_017943	KAF7231529.1
G4P62_017943	KAF7231530.1
G4P62_003718	KAF7229776.1
G4P62_003719	KAF7229777.1
G4P62_003720	KAF7229778.1
G4P62_003721	KAF7229779.1
G4P62_003722	KAF7229780.1
G4P62_003723	KAF7229781.1
G4P62_003723	KAF7229782.1
G4P62_003723	KAF7229783.1
G4P62_003724	KAF7229784.1
G4P62_003725	KAF7229785.1
G4P62_003726	KAF7229786.1
G4P62_003726	KAF7229787.1
G4P62_003726	KAF7229788.1
G4P62_003726	KAF7229789.1
G4P62_003726	KAF7229790.1
G4P62_003727	KAF7229791.1
G4P62_003728	KAF7229792.1
G4P62_003728	KAF7229793.1
G4P62_003728	KAF7229794.1
G4P62_019128	KAF7231671.1
G4P62_019129	KAF7231672.1
G4P62_019129	KAF7231673.1
G4P62_019130	KAF7231674.1
G4P62_019131	KAF7231675.1
G4P62_003729	KAF7229795.1
G4P62_003730	KAF7229796.1
G4P62_003731	KAF7229797.1
G4P62_003732	KAF7229798.1
G4P62_003733	KAF7229799.1
G4P62_003734	KAF7229800.1
G4P62_003735	KAF7229801.1
G4P62_003736	KAF7229802.1
G4P62_003737	KAF7229803.1
G4P62_003738	KAF7229804.1
G4P62_003739	KAF7229805.1
G4P62_003740	KAF7229806.1
G4P62_003740	KAF7229807.1
G4P62_003741	KAF7229808.1
G4P62_003742	KAF7229809.1
G4P62_003742	KAF7229810.1
G4P62_003742	KAF7229811.1
G4P62_003743	KAF7229812.1
G4P62_003744	KAF7229813.1
G4P62_003745	KAF7229814.1
G4P62_003746	KAF7229815.1
G4P62_003747	KAF7229816.1
G4P62_003748	KAF7229817.1
G4P62_003749	KAF7229818.1
G4P62_003749	KAF7229819.1
G4P62_003749	KAF7229820.1
G4P62_003750	KAF7229821.1
G4P62_003751	KAF7229822.1
G4P62_003752	KAF7229823.1
G4P62_003753	KAF7229824.1
G4P62_003754	KAF7229825.1
G4P62_003755	KAF7229826.1
G4P62_003756	KAF7229827.1
G4P62_003756	KAF7229828.1
G4P62_003756	KAF7229829.1
G4P62_003757	KAF7229830.1
G4P62_003757	KAF7229831.1
G4P62_003757	KAF7229834.1
G4P62_003757	KAF7229832.1
G4P62_003757	KAF7229833.1
G4P62_003757	KAF7229835.1
G4P62_003757	KAF7229836.1
G4P62_003758	KAF7229837.1
G4P62_003759	KAF7229838.1
G4P62_003760	KAF7229839.1
G4P62_003761	KAF7229840.1
G4P62_003761	KAF7229841.1
G4P62_003762	KAF7229842.1
G4P62_003763	KAF7229843.1
G4P62_003764	KAF7229844.1
G4P62_003765	KAF7229845.1
G4P62_003766	KAF7229846.1
G4P62_003766	KAF7229847.1
G4P62_003767	KAF7229848.1
G4P62_003768	KAF7229849.1
G4P62_017633	KAF7231496.1
G4P62_017634	KAF7231497.1
G4P62_017634	KAF7231498.1
G4P62_017634	KAF7231499.1
G4P62_017635	KAF7231500.1
G4P62_017636	KAF7231501.1
G4P62_003769	KAF7229850.1
G4P62_003770	KAF7229851.1
G4P62_003771	KAF7229852.1
G4P62_003772	KAF7229853.1
G4P62_003773	KAF7229854.1
G4P62_003773	KAF7229855.1
G4P62_003774	KAF7229856.1
G4P62_003775	KAF7229857.1
G4P62_003776	KAF7229858.1
G4P62_003777	KAF7229859.1
G4P62_003778	KAF7229860.1
G4P62_003779	KAF7229861.1
G4P62_003780	KAF7229862.1
G4P62_003781	KAF7229863.1
G4P62_003782	KAF7229864.1
G4P62_003782	KAF7229865.1
G4P62_003783	KAF7229866.1
G4P62_003784	KAF7229867.1
G4P62_003785	KAF7229868.1
G4P62_003786	KAF7229869.1
G4P62_003787	KAF7229870.1
G4P62_003787	KAF7229871.1
G4P62_003788	KAF7229872.1
G4P62_003789	KAF7229873.1
G4P62_003790	KAF7229874.1
G4P62_019594	KAF7231734.1
G4P62_019593	KAF7231733.1
G4P62_011542	KAF7231482.1
G4P62_017882	KAF7231519.1
G4P62_017883	KAF7231520.1
G4P62_017884	KAF7231521.1
G4P62_017885	KAF7231522.1
G4P62_017886	KAF7231523.1
G4P62_019762	KAF7231749.1
G4P62_019763	KAF7231750.1
G4P62_003802	KAF7229889.1
G4P62_003801	KAF7229888.1
G4P62_003800	KAF7229887.1
G4P62_003799	KAF7229886.1
G4P62_003798	KAF7229885.1
G4P62_003797	KAF7229884.1
G4P62_003796	KAF7229883.1
