YF2	OF2	MF2	OF1	MF1	YF3	OF3	YF1
	288.441	186.509	212.686	159.61	395.699	60.556	406.155
	178.616	85.714	830.784	370.036	79.836	170.952	137.902
	128.5	728.983	155.844	811.326	299.128	159.868	101.179
	281.584	69.807	85.092	66.02	67.344	104.975	108.308
	299.722	153.061	175.368	149.503	83.413	389.76	109.778
	56.671	221.172	264.074	346.46	191.477	85.965	166.07
	264.725	116.969	71.523	313.458	211.737	834.983	88.285
	443.263	46.627	120.275	209.433	46.894	834.983	57.354
	348.344	73.469	42.143	272.973	54.668	162.953	189.6
	108.563	484.757	428.642	90.041	154.204	320.332	277.912
	155.102		504.105	30.124	309.581	137.826	110.108
	199.452		116.232	141.923	331.794	137.826	327.41
	119.077		95.116	183.235	207.384	114.231	207.856
	603.072		136.808	352.03	33.159	144.936	152.479
	44.378		115.051	67.524	81.112	800.502	171.727
	40.072		74.435	120.031	41.814	739.975	39.421
	40.072		489.516	92.003	46.353	921.9	81.408
	101.196		42.143	123.332	43.339		120.592
	98.002		72.472	107.58	366.724		65.338
	36.924		90.955	87.273	113.938		66.211
	567.83		104.906	27.273	27.185		377.201
	806.346		769.202	50.14	43.67		266.812
	781.793		469.153	98.786			708.713
	164.211		80.32	31.096			567.229
	114.538		51.981	29.5			873.861
	138.596		390.855	38.182			361.701
	250.675		97.403	72.208			160.308
	45.39		112.987	217.174			339.175
	66.281		294.562	266.115			123.466
	49.232		437.423	18.295			152.459
	232.815		50.799	114.578			390.21
	217.753		179.39	131.815			60.833
	102.387		145.883	179.358			93.475
	278.555		45.436	218.608			285.182
	158.77		101.971	87.952			49.791
	105.878		97.403	29.374			62.063
	79.385		84.286	61.832			81.185
	83.84		196.792	24.545			81.185
	64.427		174.945	307.505			89.137
	551.425		57.294	48.558			256.316
	88.926		86.508	112.448			168.312
	88.926		38.273	98.824			264.387
	85.451		84.105	23.461			163.279
	82.749		104.143	31.922			199.923
	73.437		40.909	122.576			213.878
	144.063		62.883	16.589			30.016
	359.431		58.474	12.197			17.902
	120.72		791.523	624.778			28.782
	555.067		851.1	424.264			28.782
	555.067		624.256	461.062			51.698
	897.632		325.599	200.709			51.698
	415.205		127.385	90.289			37.212
	74.867		187.418	72.208			
	88.755		157.25	703.134			
	44.378		71.841	202.572			
			62.823	118.409			
			24.947	206.734			
			171.074	428.052			
			717.052	127.688			
			63.901	179.607			
			41.962	130.909			
			468.133	52.672			
			36.756	73.434			
			41.416	128.182			
			91.205	73.687			
			329.722	124.053			
			528.953	820.016			
			160.167	38.569			
			45.436	463.741			
			85.448	62.727			
			62.823	405.787			
			68.929	64.366			
			46.915	202.719			
			79.941	55.626			
			213.967	70.804			
			303.196	46.444			
			115.643	255.375			
			400.105	44.397			
			354.866	371.44			
			38.961	56.224			
			129.512	39.049			
			58.442	676.215			
			515.759	828.952			
			123.206	46.444			
			115.839	35.455			
			632.37	48.787			
			46.753	144.957			
			31.411	88.5			
				19.855			
				40.544			
				103.636			
				146.868			
				57.854			
				681.84			
				208.364			
				367.221			
