OF1	YF2	MF2	YF1	OF3	YF3	MF1	OF2
	125.277	37.617	157.684			27.562	57.769
	348.334	74.211	147.541			17.093	111.229
	39.528	61.843	347.757			100.546	29.596
	27.951	801.213	705.202			34.187	16.143
	117.925		387.902			202.613	121.405
	150.981		217.842			329.73	116.475
	45.833		825.072			19.489	88.952
	67.828		338.774			414.105	70.419
	61.52		149.899			158.978	94.209
	45.833		118.85			227.284	81.432
	401.927		314.523			165.462	56.502
	97.628		353.141			89.964	39.175
	130.171		70.416			135.135	89.923
	50.173		98.974			27.027	57.518
	24.296		244.174			172.381	87.599
	25		59.221			5.405	93.592
	80.147		189.966			59.459	90.245
	116.07		213.071			765.681	21.692
	208.708		159.968			54.054	172.407
	313.498		235.707			36.261	70.778
	95.924		147.541			754.63	226.84
	54.167		249.708			44.574	74.806
	29.167					89.148	24.806
	150.52					38.979	21.525
	297.443					31.519	61.883
	63.601					78.704	45.74
	128.695					39.352	72.446
	471.128					631.161	73.881
	207.582					66.861	83.581
	235.85					69.223	63.042
	135.657					34.187	67.318
	54.327					229.841	88.135
	95.106					156.85	45.819
	97.183					202.613	82.536
	304.423					118.056	124.03
	176.875					85.467	118.294
	200.693					90.611	176.064
	196.143					351.393	59.254
	126.724					21.622	24.215
	157.509					149.115	30.44
	331.296					108.647	21.014
	291.696					75.676	93.282
	47.507					362.202	303.309
	61.942					83.914	945.712
	54.327					108.243	495.769
	79.276					256.799	282.729
	70.833					108.243	
	173.305					91.892	
	289.426					104.954	
	265.165					498.354	
	54.167					43.58	
	104.167					64.865	
	70.833					84.608	
	190.804					343.998	
	144.938					258.67	
	141.483					67.73	
	100.087					76.444	
	96.195					121.952	
	135.208					75.289	
	20.833					34.187	
	91.667					152.601	
	92.045					160.714	
	124.861					274.028	
	161.804					104.396	
	45.833					382.067	
						184.498	
						75.676	
						311.878	
						106.474	
						82.51	
						178.46	
						514.991	
						133.504	
						340.712	
						44.574	
						329.73	
						188.803	
						372.306	
						162.252	
						309.575	
						372.346	
						162.971	
						84.088	
						54.054	
						114.027	
						65.981	
						191.263	
						43.58	
						376.055	
