YF2	OF2	MF2	OF1	MF1	YF3	OF3	YF1
	539.195	36.926	71.634	439.056	52.79	101.898	226.491
	46.855	89.098	150.504	124.797	109.391	58.6	192.86
	19.84	46.748	167.579	390.824	49.676		29.09
	809.123	60.506	93.108	42.992	49.047		70.742
	266.679	351.443	78.774	363.395	227.848		161.607
	97.307	229.284	85.712	165.709	373.907		113.126
	160.862	940.606	90.852	450.778			140.292
	56.579	120.587	90.016	140.838			75.067
	44.266	131.977	69.641	128.807			250.223
	70.543	226.229	45.975	624.865			100.245
	244.889	122.737	556.662	176.146			139.046
	359.622	65.829	40.721	78.717			212.979
	900.003	43.029	57.827	79.816			141.421
	332.531	51.546	857.24	195.431			71.025
	468.067		132.779	90.825			40.262
	208.49		122.551	115.76			111.243
	241.549		227.102	75.575			61.57
	95.495		193.336	116.931			66.27
	89.48		41.704	48.067			355.565
	74.536		120.766	323.085			665.286
	248.376		195.146	363.812			134.926
	455.503		82.755	237.941			353.759
	284.824		95.878	168.497			545.001
	81.988		199.652	124.827			96.642
	45.189		262.334	88.63			96.965
	428.256		475.021	22.018			45.906
	456.884		472.895	27.523			61.28
	906.859		524.959	33.256			170.003
	564.036		122.044	221.862			113.735
	922.571		67.01	58.385			26.07
	147.167		305.61	108.88			51.292
	147.167		90.695	160.224			80.488
	204.34		55.391	180.311			192.068
	748.887		708.325	163.778			138.885
	621.768		655.212	98.661			37.883
	87.838		644.71	32.097			63.274
	101.675		37.624	266.531			60.387
	142.123		88.818	89.608			529.105
	103.975		67.993	52.941			66.405
	103.975		104.895	476.343			182.589
	251.366		317.091	53.44			58.866
	154.548		410.009	325.887			44.055
	174.777		36.632	122.159			100.925
	62.266		128.25	51.195			195.434
	91.892		113.216	331.43			119.866
	291.041		354.511	126.2			452.016
	77.691		201.299	28.636			219.8
	119.625		98.9	116.769			498.445
	87.337		31.138	25.708			412.606
	180.467		96.899	218.056			54.538
	124.337		513.726	112.01			78.218
	99.639		71.923	50.936			
	27.477		59.314	89.544			
	50.933		80.901	88.78			
	592.286		152.251	133.486			
	634.53		54.844	76.124			
	143.962		83.553	379.168			
	436.588		466.393	54.231			
	250.179		329.818	65.421			
	37.162		86.023	83.99			
	45.007		83.377	116.972			
	45.27		63.129	130.494			
	47.374		38.097	56.018			
	50.766		425.413	562.786			
	25.676		583.787	301.108			
	26.386		829.155	835.334			
	28.446		118.44	194.966			
	102.124		611.991	108.602			
	65.763		77.728	37.028			
	57.532		106.919	68.972			
	43.919		234.878	52.293			
	520.296		134.616	38.532			
	349.914		320.332	44.464			
	245.961		35.859	49.617			
	397.747			213.634			
	54.122			41.921			
	317.875			96.644			
	162.162			587.688			
	272.544			181.087			
	389.198			336.026			
	413.522			824.187			
	637.98			384.143			
	112.649			58.385			
	122.998			140.797			
	204.273			148.215			
	266.158			122.623			
	50.273			273.364			
	528.627			143.541			
	97.801			27.107			
	125.549			26.147			
	157.129			184.977			
	300.153			26.291			
	154.257			710.771			
	195.345			55.08			
	154.965			229.568			
	51.761			92.294			
				141.502			
				428.247			
				114.84			
