YF2	OF2	MF2	OF1	MF1	YF3	OF3	YF1
	187.513		159.821	169.774			241.873
	96.642		102.992	128.506			393.912
	114.786		221.463	146.286			411.014
	268.658		281.16	280.855			440.953
	97.273		155.61	178.899			
	91.658		447.823	179.237			
	208.738		490.026	187.155			
	484.683		589.23	212.568			
	415.868		363.891	209.174			
	651.903		666.354	135.115			
	108.924		335.396	68.807			
	256.681		255.854	100.185			
	119.331		179.117	90.992			
	175.006		159.87	115.629			
	332.799		725.051	130.784			
	484.144		869.81	77.26			
	211.654		182.878	153.981			
	220.126		111.403	65.854			
	181.635		518.739	254.679			
	134.219		114.786	269.345			
	104.194		109.991	314.195			
	133.979		119.931	161.297			
	119.354		348.353	106.4			
	126.847		578.853	163.593			
	154.373			187.842			
				192.68			
				174.07			
				139.867			
				72.622			
				78.528			
				96.411			
				56.573			
				139.018			
				110.169			
